crane_id,vibration_hz,temperature_c,load_kn,hydraulic_pressure_bar,speed_rpm,power_kw,wind_speed_ms,visibility_m,humidity_pct,cycle_count,maintenance_days_since,error_code,ambient_temp_c,crane_id_enc,anomaly_label
CRANE_11,12.518029567303124,45.023923599558856,257.86884048713637,228.34400960702814,33.87507751576213,85.87770449856109,11.270534759360853,9522.1864196207,80.65078347916638,37270,41,3,11.972046696957891,10,0
CRANE_03,10.999302745610668,46.27396255390318,159.1043243299532,218.28023979926158,34.7451840463605,107.2741949976984,6.5001867673843785,6313.655387023578,75.42923891128652,45213,67,3,8.502009485945242,2,0
CRANE_01,12.36963446119933,42.61183173804071,172.06750243119626,198.7209825031679,37.260112688111214,80.4668881811159,4.150680933925053,9388.099427738502,84.43217560414581,8275,104,0,9.853303466172115,0,0
CRANE_03,11.94294367697373,40.803459771060325,154.13450716135478,230.48188365434078,39.7895124174973,111.8491644776271,10.403485183150742,9579.765919882218,67.09869998486234,16952,60,0,17.626877096995443,2,0
CRANE_09,12.462603745882838,45.945934706037576,146.11260921185445,235.77187169211757,36.02956727031018,93.5357760014913,11.114422064562271,8679.658475186,74.61354162490117,29173,100,1,8.84643447725606,8,0
CRANE_11,11.608521526876675,52.23321376613533,165.3839429215141,238.94422913535638,36.441911420113875,93.68870276034659,4.296572759229006,9132.613152373597,88.07289049396076,21771,92,0,2.032461879543204,10,0
CRANE_04,11.310133018793497,47.74785484436129,217.43465742868526,201.40536253640636,30.873432533780807,74.9845083170299,9.845318930545385,9834.23462693361,66.99588250343028,45475,174,1,23.396458106838217,3,0
CRANE_11,12.519561535816148,43.26020265187953,205.61849141329162,224.1158972153095,45.22958523320264,92.05877608312886,7.337724806589043,6240.286295858878,81.60119758061954,28116,61,1,13.559935532472496,10,0
CRANE_01,11.81657947944406,44.72436598424265,167.3627104064163,213.611328911951,32.16714424845772,104.11983118643856,7.197573840517458,5345.627826879221,70.9991752672785,41004,137,0,6.969704433218822,0,0
CRANE_06,11.01650389568159,40.32962272207484,149.98663686876293,224.9120556915304,33.980178996221895,113.22568029441578,9.97811346286262,2993.160061852402,89.5841493300131,22024,53,0,6.206802825136395,5,0
CRANE_11,12.226883126228605,39.54638977749923,218.21640341517428,199.24079031811826,37.87284102046983,88.50013464111952,9.100982264714638,8021.2708268402575,75.58654894464087,42358,5,0,2.0429920545266747,10,0
CRANE_09,12.082437210450369,44.06139163500356,171.57105923726584,175.02999461227873,41.115291820402234,96.16436682368706,4.488638867252471,11312.486546811802,72.25431702208445,36047,150,0,11.743429266523759,8,0
CRANE_05,12.150127904609683,48.36911080484771,177.17472947203515,234.05702022284353,35.254455708647825,83.87591699535484,5.721357975279651,7167.872643964897,76.63982495051226,29711,172,0,14.883708971383875,4,0
CRANE_02,14.416046473330516,43.014340332285414,176.81334803896542,223.20594228339522,45.91948610581128,107.39689133277024,10.520121788841548,6689.807643010481,48.379216958768644,28604,100,0,21.66115006579757,1,0
CRANE_06,14.75792555713765,42.18860818116788,188.37459553576255,244.14533681893064,40.205907114171595,106.29734582232548,9.962673179250427,11107.040387544734,77.16222632190133,31995,133,2,9.056481721922621,5,0
CRANE_07,14.183250367707315,49.26968509392699,226.41631360454502,196.51143069654384,41.35497672626155,112.21875897969637,4.7670963707007346,4499.07009591735,73.82930396281822,16217,105,0,11.02886693441088,6,0
